"";"aluno";"ano.defesa";"programa";"titul";"titul.2";"prazo.dep";"tempo.dep";"tempo.def";"avaliador";"estrato";"estrato.n";"impacto";"impacto.n";"nota.tese";"redacao";"contextualiz";"objetivos";"hip.claras";"originalidade";"metodos";"analises";"resultados";"discussao";"literatura"
"675";11;2013;"Zoo";"Doutorado";"Doutorado";48;52.3;54.3333333333333;"Orientador";"10%";2;"alto";4;7;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE
"676";11;2013;"Zoo";"Doutorado";"Doutorado";48;52.3;54.3333333333333;"Externo";"25%";3;"alto";4;5;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
"677";11;2013;"Zoo";"Doutorado";"Doutorado";48;52.3;54.3333333333333;"Externo";"25%";3;"alto";4;5;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE
"424";35;2013;"Zoo";"Doutorado";"Doutorado";48;51.6333333333333;52.2666666666667;"Externo";"25%";3;"alto";4;7;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
"425";35;2013;"Zoo";"Doutorado";"Doutorado";48;51.6333333333333;52.2666666666667;"Orientador";"10%";2;"alto";4;9;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"426";35;2013;"Zoo";"Doutorado";"Doutorado";48;51.6333333333333;52.2666666666667;"Interno";"50%";5;"medio";3;7;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE
"427";35;2013;"Zoo";"Doutorado";"Doutorado";48;51.6333333333333;52.2666666666667;"Externo";"10%";2;"alto";4;9;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"428";35;2013;"Zoo";"Doutorado";"Doutorado";48;51.6333333333333;52.2666666666667;"Interno";"10%";2;"medio";3;8;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
"452";41;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;55.4666666666667;"Externo";"25%";3;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"453";41;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;55.4666666666667;"Orientador";"25%";3;"medio";3;8;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
"454";41;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;55.4666666666667;"Interno";"25%";3;"medio";3;9;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"455";41;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;55.4666666666667;"Externo";"10%";2;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"486";242;2013;"Zoo";"Doutorado";"Doutorado";48;51.6666666666667;52.8;"Externo";"10%";2;"medio";3;6;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
"487";242;2013;"Zoo";"Doutorado";"Doutorado";48;51.6666666666667;52.8;"Orientador";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"488";242;2013;"Zoo";"Doutorado";"Doutorado";48;51.6666666666667;52.8;"Interno";"50%";5;"medio";3;8;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
"489";242;2013;"Zoo";"Doutorado";"Doutorado";48;51.6666666666667;52.8;"Interno";"50%";5;"medio";3;8;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
"490";242;2013;"Zoo";"Doutorado";"Doutorado";48;51.6666666666667;52.8;"Externo";"50%";5;"medio";3;6;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
"510";285;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;54.9333333333333;"Orientador";"25%";3;"alto";4;3;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
"511";285;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;54.9333333333333;"Interno";"50%";5;"medio";3;4;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
"512";285;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;54.9333333333333;"Externo";"50%";5;"medio";3;4;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
"513";285;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;54.9333333333333;"Externo";"25%";3;"medio";3;6;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
"514";285;2013;"Zoo";"Doutorado";"Doutorado";48;52.7;54.9333333333333;"Externo";"25%";3;"alto";4;8;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE
"585";320;2013;"Zoo";"Doutorado";"Doutorado";48;48.4333333333333;49.8666666666667;"Orientador";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"586";320;2013;"Zoo";"Doutorado";"Doutorado";48;48.4333333333333;49.8666666666667;"Externo";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"587";320;2013;"Zoo";"Doutorado";"Doutorado";48;48.4333333333333;49.8666666666667;"Externo";"25%";3;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"588";320;2013;"Zoo";"Doutorado";"Doutorado";48;48.4333333333333;49.8666666666667;"Interno";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"589";320;2013;"Zoo";"Doutorado";"Doutorado";48;48.4333333333333;49.8666666666667;"Externo";"10%";2;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
