"";"aluno";"ano.defesa";"programa";"titul";"titul.2";"prazo.dep";"tempo.dep";"tempo.def";"avaliador";"estrato";"estrato.n";"impacto";"impacto.n";"nota.tese";"redacao";"contextualiz";"objetivos";"hip.claras";"originalidade";"metodos";"analises";"resultados";"discussao";"literatura"
"747";183;2013;"Gen";"Doutorado";"Doutorado";54;56.8666666666667;58.2333333333333;"Interno";"50%";5;"medio";3;4;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
"748";183;2013;"Gen";"Doutorado";"Doutorado";54;56.8666666666667;58.2333333333333;"Externo";"25%";3;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"737";189;2013;"Gen";"Doutorado";"Doutorado";48;50.7666666666667;53.2;"Interno";"25%";3;"baixo";2;7;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
"738";189;2013;"Gen";"Doutorado";"Doutorado";48;50.7666666666667;53.2;"Externo";"25%";3;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"739";189;2013;"Gen";"Doutorado";"Doutorado";48;50.7666666666667;53.2;"Externo";"25%";3;"nao public";1;6;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
"740";189;2013;"Gen";"Doutorado";"Doutorado";48;50.7666666666667;53.2;"Interno";"50%";5;"medio";3;5;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
"741";189;2013;"Gen";"Doutorado";"Doutorado";48;50.7666666666667;53.2;"Orientador";"25%";3;"alto";4;1;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"718";208;2013;"Gen";"Doutorado";"Doutorado";48;52.7;54.3333333333333;"Interno";"50%";5;"medio";3;6;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE
"719";208;2013;"Gen";"Doutorado";"Doutorado";48;52.7;54.3333333333333;"Externo";"25%";3;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"720";208;2013;"Gen";"Doutorado";"Doutorado";48;52.7;54.3333333333333;"Externo";"50%";5;"alto";4;2;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
"721";208;2013;"Gen";"Doutorado";"Doutorado";48;52.7;54.3333333333333;"Externo";"25%";3;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"617";240;2013;"Gen";"Doutorado";"Doutorado";54;52.9333333333333;54.9333333333333;"Externo";"25%";3;"alto";4;5;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
"618";240;2013;"Gen";"Doutorado";"Doutorado";54;52.9333333333333;54.9333333333333;"Externo";"25%";3;"alto";4;5;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE
"619";240;2013;"Gen";"Doutorado";"Doutorado";54;52.9333333333333;54.9333333333333;"Orientador";"25%";3;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"633";240;2013;"Gen";"Doutorado";"Doutorado";54;52.9333333333333;54.9333333333333;"Externo";"";1;NA;NA;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
